Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,122.01,122.81,116.87,118.58,118.58,7207100
2025-02-07,118.11,119.66,116.52,117.41,117.41,5835800
2025-02-10,121.46,123.41,119.14,119.9,119.9,13060700
2025-02-11,122.28,125.95,114.7,123.59,123.59,34842700
2025-02-12,119.05,122.49,116.7,120.49,120.49,13307400
2025-02-13,121.0,128.0,120.1,127.65,127.65,10940300
2025-02-14,125.76,128.57,123.88,128.35,128.35,8511300
2025-02-18,129.08,129.38,124.19,129.31,129.31,7251900
2025-02-19,129.05,129.05,124.4,127.66,127.66,7766900
2025-02-20,126.9,126.95,120.8,123.47,123.47,8855900
2025-02-21,125.2,125.5,115.3,115.56,115.56,10064100
2025-02-24,115.56,117.03,109.81,115.48,115.48,8545000
2025-02-25,113.29,115.0,107.0,110.95,110.95,9977700
2025-02-26,111.88,114.8,110.84,113.23,113.23,4905900
2025-02-27,114.85,115.59,110.15,110.83,110.83,5790100
2025-02-28,109.0,112.09,107.58,112.0,112.0,6271700
2025-03-03,112.89,115.21,104.81,106.58,106.58,7795200
2025-03-04,103.61,104.19,97.85,101.73,101.73,13995300
2025-03-05,102.76,106.65,101.59,106.15,106.15,8409400
2025-03-06,103.51,109.45,101.36,102.49,102.49,12036200
2025-03-07,100.85,103.5,95.36,100.13,100.13,13894500
2025-03-10,96.07,96.19,91.69,92.75,92.75,16385300
2025-03-11,92.75,95.11,91.15,92.95,92.95,12127100
2025-03-12,96.67,99.14,95.29,96.53,96.53,8531900
2025-03-13,95.17,95.53,89.1,90.59,90.59,11076400
2025-03-14,94.61,95.83,93.06,94.85,94.85,7065100
2025-03-17,95.02,98.43,94.58,96.59,96.59,5771600
2025-03-18,95.9,96.12,92.91,94.01,94.01,5372000
2025-03-19,99.62,103.17,97.65,101.54,101.54,17808900
2025-03-20,98.46,104.19,98.46,101.85,101.85,8604000
2025-03-21,100.27,104.43,99.2,104.21,104.21,8696400
2025-03-24,106.95,110.68,106.79,109.28,109.28,10099200
2025-03-25,109.99,111.0,108.75,109.82,109.82,5752900
2025-03-26,109.17,109.42,103.05,104.28,104.28,7271700
2025-03-27,102.32,103.71,99.73,102.52,102.52,7639500
2025-03-28,99.15,100.26,95.86,96.68,96.68,13202800
2025-03-31,92.72,96.11,89.24,95.48,95.48,15801900
2025-04-01,95.8,99.54,93.96,97.64,97.64,10309400
